normalisasi,Score,Sentiment
lah memang dia manusia kak dia binatang rakus,-1,Negatif
tunjangan beras dia sama kayak gaji umr gue selama bulan,-3,Negatif
enteng benar ye dia mengomong cuman juta,0,Netral
gaji gue setahun itu,-1,Negatif
kak sama dengan gajiku bulan masih dipotong biaya hidup,0,Netral
sabar ya kak semoga segera dapat pekerjaan,3,Positif
warung madura yang jualan beras saja belum tentu habis kuintal perbulan kak,-2,Negatif
saya mau beli beras liter saja harus seharian jualan iyu beras juta,-1,Negatif
mandi beras minum besin,-1,Negatif
makanya tidak herman perutnya pada gembos makanya saja kg beras dalam sebulan miris ini orang apa kerbau,-5,Negatif
kilo dibagi hari kilo perharianggota keluarga anggaplah orang kilo lebih satu orang sehari makan kali kilo lebih sekali makan setara megic com llebih duh kenapa gue jadi belajar berhitung ya,3,Positif
di kubur beras jadi dia kerja untuk makan bukan makan untuk kerja,0,Netral
yang harus di kasihani itu rakyat miskin bukan pejabat yang dengan gajinya saja sudah bisa beli telur dan beras aduh,-8,Negatif
tapi guru yang di bilang beban negara,-1,Negatif
kalau dapat semua gajinya dan segala tunjangan keseluruhan milyar baru tersenyum lupa dengan fungsinya dari perwakilan rakyat tapi perwakilan mencari pekerjaan untuk merampok uang negara,-4,Negatif
malah menyusahkan yang ada keputusannya,-1,Negatif
iya kami yang memimpin negara ini kamu siapa protes melulu saja,-4,Negatif
harus ya lihat jua masyarakat yang ada yang makin dan kada makin ini malah naik kan gaji dpr selama ini kerja dpr apa membuat udang saja kada bagus,0,Netral
makanya kit bubrkan dpr,0,Netral
modal jadi anggota dpr juga ratusan juta bahkan milyar cuma mengingatkan kalau kamu mau gaji besar harus modal besar juga,-2,Negatif
naik tunjangan itu bukan naik gaji ya namanya memang pemerintah kita dongk,0,Netral
angin doang dan menderita buat rakyat dasar tikus nakal,-1,Negatif
kasihan dengan kawan kawan dpr kalimat paling sakit di baca,-2,Negatif
ganti dalam wujud barang saja kenapa kasih saja beras kg karung kasih kelur papan minyak goreng dus cukup sebulan itu,-2,Negatif
agak lain ya lantas masyarakat itu bagaimana yang susah makan kamu bilang cuma sebulan makan berapa ton sampai tunjangan beras juta sudah tidak mengerti lagi yallah,-6,Negatif
tidak naik tapi sedikit saja lawak bapak ini,-2,Negatif
tunjangan bensin bapak bisa buat makan kami bulan pak,-1,Negatif
tunjangan beras cuma dan cumaaaaa juta lihat rakyat yang anda wakili jangankan bisa dapwt juta buat beli seliter liter saja susah ya minta ampun,-2,Negatif
beras sebulan juta bisa dapat karung kamu sekeluarga berapa orang paling cuma sekarung sebulan pak sadar pak rakyat banyak yang kelaparan mending tunjangan beras di berikan ke rakyat,-2,Negatif
harga beras juta per kg mungkin beli berasnya dari eropa lalu keliling dunia baru sampai indonesia,1,Positif
naik sedikit sedikit tapi juta ini kami naik ribu perak saja perdebatannya alot,1,Positif
beras cuma dapat juta,0,Netral
cuman ya cumannn itu tidak naik tapi cumann,0,Netral
pemerintah memberi subsidi yang sangat keliruyg berhak mendapat subsidi itu rakyat miskin,-2,Negatif
cuman matane njepat,0,Netral
seandainya gaji anggota dpr diturunin jadi juta dan semua tunjangan ditanggung sendiri kira kira ada yang masih bertahan tidak ya para anggota dpr ini,-5,Negatif
beras juta satu bulan eh buseeet itu makan apa kondangan satu rt tiap harinya,-2,Negatif
katanya efisiensi tapi kenapa naik semua buat kalian anjjjjj,0,Netral
kok ada tunjangan beras berarti makan gratis kah pay,1,Positif
samakan saja gaji dpr dengan umr,-1,Negatif
tidak kebanyakan pak gaji guru ribu sbulan belum bensin dan makan plislah pemerintah kalau mau naikin gaji dpr dipikir lagi,-1,Negatif
kenapa tidak kasihan sama rakyatnyadpr mah sudah kayak,-1,Negatif
kok ada katanya cuma dapat enteng benar ya,-1,Negatif
beras juta cuma tunjangan rumah cuman juta menteri keuangan kasihan dpr trnyta menteri keuangan tidak kasihan kepada rakyat yang mengaji nya,0,Netral
kalau setara umr bakal kosong gedung dpr ya nanti,-1,Negatif
buat yang mau saja,-1,Negatif
ya memang harusnya berisi orang yang niat kerja saja,0,Netral
kalau umr mereka tidak mau jadi saya yang akan mau,-4,Negatif
naah ini jadi lebih jelas kelihatan,1,Positif
gaji pokok cuman juta tapi tunjangan lainnya juta lebih,2,Positif
kak gaji mereka itu kecil cuma juta tunjangannya yang juta lebih,-1,Negatif
pekerjaan ya cuma molor padahal,1,Positif
lah memang sama kok gajinya sampai juta doang tunjungannya itu yang kali lipat gaji makanya banyak yang bilang tidak akan ambil gaji demi rakyat tapi tunjungannya meminta tambah terus,-1,Negatif
gajinya umr tunjangannya yang tidak masuk nalar,-3,Negatif
iya itu maksudnya jangan ada tunjangan lainnya jadi kalau penerimaan anghota dpr baru ya seleksi yang benar kaya orang cari kerja tau kaya seleksi pns,-6,Negatif
gaji umr itu gaji minim fungsi umr untuk melindungi pekerja dari swastanisasi makanya distandarkan oleh negara kalau untuk standar kawan dpr tidak bijak mas jadi cocok karena agar ada perbedaan sedikit minimal hasta karena adil tidak harus sama rata,-12,Negatif
ralat jadi tidak cocok untuk kawan dpr,-1,Negatif
kalau mereka sudah dapat jalur khusus vip ke nerekes jahanam jadi beda gaji ya sama karyawan penghuni surga,0,Netral
modal jadi anggota dpr juga ratusan juta bahkan milyar cuma mengingatkan kalau kamu mau gaji besar harus modal besar juga,-2,Negatif
ya allohhhhh menangis saya dengar nya,0,Netral
kenapa cuma kondisi dpr saja yang di pahami dengan keadaan ekonomi seperti ini kenapa cuma mereka yang di tambahkan tunjangan makan kami yang dibawah ini tidak perlu di kasihani dengan kenaikan beras dan telur,-8,Negatif
tunjangan beras juta perbulan mau jadi agen beras mengakak,-1,Negatif
kami sudah bantu ratusan orang dengan program sedekah rbbulan kekumpul sebulannya rata juta seandainya kita bisa kumpulin juta sebulan berapa banyak orang yang bisa kita bantu ya,1,Positif
gaji beras bensin remont sewa rumah bayar sendiri total masa kerja tahu,1,Positif
cumannya bapak itu kalau di bandingkan gaji kita saja tidak segitu paak,-5,Negatif
ya allah kasihan lagi kami pak mau beli makan enak mikir biar bisa cukup untuk besuk tahu tampe setiap hari alhamdulillah pak kami kayak pak bisa makan hari ini,0,Netral
jangan suudzon dulu wahai netizen mungkin juta tunjangan beras itu untuk dapur dapur yang sah lagi dapur yang tidak sah alis dapur dapuran wkwkwk,-7,Negatif
kasihan katanya kawan di dpr heee bapakkkk tidak lihat ya rakyatnya juga kasihan yang tidak dapat perhatian dari pemerintah,-2,Negatif
duit dari mana gaji dpr sebanyak itu apa uang muncul dari tanah apa turun dari langit enak sekali hidupmu,-7,Negatif
beras juta buat setahun sudah lebihlebih pak,2,Positif
tunjangan beras cuma juta ada kata cuma,-3,Negatif
buset beras juta sebulan,1,Positif
cuma cuma et pak cuma ya bapal bisa buat dp motor atau rumah,0,Netral
gaji dpr juta gaji guru honorer ribu beras beli sendiri bensin beli sendiri masih di bilang guru beban negara sebenarnya yang beban negara siapa yabertanya dengan nada kosidahan,0,Netral
juta untuk tunjangan beras dpr rakus kah,0,Netral
gaji dpr yang sudah besar dinaikkan lalu guru di anggap beban benar tidak berpihak pada rakyat,-2,Negatif
pantesan ada yang sudah tahun hidup di senayan,-2,Negatif
dpr bilang cuman tunjangan ya allah,1,Positif
jauuuuhhhhhhhhh tidak bisa dibandingin rakyat dapetnya cuman,-1,Negatif
nah itu dengan pada ya bicara cuma di atas banyak berita miris lainnya harusnya samakan dengan umr jakarta cukup,-6,Negatif
gajih juta bertarung dengan dunia walaupun sering kas bon sama bos,3,Positif
modal jadi anggota dpr juga ratusan juta bahkan milyar cuma mengingatkan kalau kamu mau gaji besar harus modal besar juga,-2,Negatif
jadi yang penting balik modal begitu ya kak,-1,Negatif
modal buat buka usaha modal buat jadi wakil rakyat,2,Positif
usaha tidak menetu kak kalau jadi dpr sudah pasti tiap bulan cair kerjanya juga cuma duduk di gedung ber ac kalau pengusaha kan agak kesel harus mikir ini itu agar usahanya lancar,-9,Negatif
iya begitu kak sama seperti pengusaha cuma bedanya kalau usaha omsetnya tidak pasti kalau dpr sudah pasti tiap bulan,-3,Negatif
benar kak yang ia makin masih nasi paling banyak juga sepiring bnsin di tggung negara beras di tggung negara gji juta perbulan masih bilang cumanmudhn allah mmbalikkan semua ya yang kaya tidak selmanya kaya yang miskin mudhkn bisa merasakn kayak kun payakun tak ada yang mustahil di dunia ini,-3,Negatif
namanya juga serakah juta katanya cuman apa tidak lihat rakyat kecil yang penghasilannya dibawah ribu mikir kamu,-3,Negatif
orang pada rakus mana ada bersyukur ya,1,Positif
terbukti bahwa dia sangat serakah sekali,-1,Negatif
juta sebln belum tntu kerja pula kak,2,Positif
stres banget memang kita ngandelin umr yang naik ya cuman kthn dengan harga telur dan beras yang sama dengan para dpr itu sakit,1,Positif
kenapa tidak sama dengan penjelasan krisdayanti,1,Positif
juta gaji tunjangan juta terima kali setaun juta terima kali setaun ini yang dbilang kecil,2,Positif
cari di pencarian krisdayanti gaji dpr coba lihat dan dengarkan itulah yang sbnrnyabukan kayak bpk yang di video iniditahan tahan disembunyikan inimahtakut,-3,Negatif
aspirasi juta abang,1,Positif
saudara ku ada yang jadi dprdia cerita sebulan paling tidak dapat gaji dari berbagai sumber mencapai juta,-1,Negatif
apa pernah perang atau jadi tameng seperti pol dan tniyg gaji satu bulan hanya juta,-5,Negatif
itu per hari ya abang,0,Netral
dana aspirasi juta per bulan jadi total tahun tembus sama,3,Positif
tidak kecil tapi yang tidak kelihatan lebih gede uang reses uang bikin undang dan yang lainnya,-3,Negatif
coba lihat podcast mbak kd,1,Positif
iya betul kunker saja besar mbak kd pernh bilang,-1,Negatif
mobil sekandang garasi full,1,Positif
itu bonus ya abang,0,Netral
pada tidak sampai joksnya abang,-2,Negatif
kan itu belum ke hitung uang korupsi,-1,Negatif
betl boleh di buka viti kd yang bilang kalau uang yungagn anggota dewan itu memang wow ratusan juta sampai sama bonusnya lagi tidak sedikit mereka dapat miya anggota dewan itu kayak semua apa lagi kalau korupsi,-14,Negatif
tunjangan kali sama kali pertahun tidak dia sebutkan padahal itu yang banyak,-4,Negatif
iyalohhhcumanberas cuman jtwow yang lain lagi,-3,Negatif
bukan cuman kak tapi cuma,-2,Negatif
iya kak soalnya mereka mau jadi dpr habis milyaran,-1,Negatif
enak benar ya pak hidup di atas penderitaan rakyat katanya cuma doang kasihan katanya eh pak lebih kasihan prihatin sama rakyat yang menderita ingat ya pak di akhirat akan kami tuntut semua perbuatan bpk ibu dpr kami tidak ikhlas dunia akhirat,-5,Negatif
bubarkan intansi hama tikus got dpr,-2,Negatif
enteng banget dia bilang cumananak saya saja sudah tahun wisuda ip belum juga dapat kerjaanudh lamar sana sinikrn tidak ada ordal coba yang mengomong cuman itu digantiin anak gue kerja lah tahun saja,-6,Negatif
cuma lolll memang,-1,Negatif
memang orang ya tidak bersyukur kak makanya bilang cuma,0,Netral
memang dpr segawon kbh,0,Netral
jangan heran mereka makan ya beras kualitas super sedangkan kita makannya beras oplosan,1,Positif
rakyat dikasih beras bulog yang banyak kutu ya,1,Positif
tapi mereka tidak sadar itutunjangan juta masih di bilang cuman,0,Netral
kg ya ribu an kalau tidak salah heehee,-2,Negatif
mungkin beras ya di bagi untuk keluarnya jangan seujon,-1,Negatif
untuk sampai anak cucu,-1,Negatif
sampai muntah padahal beras ribu saja cukup,-3,Negatif
jadi angota dpr mkan sehari berasnya karung,0,Netral
kamu makan beras apa juta per bulan,-1,Negatif
untuk turunan,0,Netral
juta beli beras dapat karung buat makin tahun,3,Positif
buat sebulan kak kak tidak lihat badan mereka pada subur,0,Netral
makannya semenit sekali piring,-1,Negatif
juta beli beras telor aku beli sembako buat sebln ribu,2,Positif
beras juta sudah bisa makan warga rw pak,1,Positif
hari meraka makan beras ton kak,0,Netral
semua gaji dprmenterisemua pns itu beban negara,-3,Negatif
bisa besain ai sama real tidak semulusnya ai tetap kelihatan kok,2,Positif
andai kan mereka tau seberapa lelah ya guru menyembunyikan perasaannya di depan anak anak didiknya ketika harus berusaha terlihat baik baik saja dan selalu ceria padahal dunia lagi tidak berpihak semangat buat para guru,-2,Negatif
guru gajinya bulan cairnya per bulan tapi di bilang paling banyak pakai uang negara mereka belum uang dinas anjyy,-1,Negatif
semangat ya bu guru untuk mencerdaskan anak bangsa,1,Positif
padahal guru gaji cuma apa lagi yang belum pnstmnku guru sd gaji perbulan itupun di gaji bulan sx sekarang dah keluar,-5,Negatif
mungkin lebih tepatnya tanggung jawab negara ya kalau bilang beban negara sih ya memang begitu maksud tujuan katanya,-2,Negatif
video buatan ai kok di percaya dasar sdm rendah,1,Positif
berarti para guru yang bikin vidio itu sdm rendah yabanyak loh guru yang up vidio beliau,0,Netral
amar al qudskalau sudah keluar bahasa beban berarti menujukan pemberat kita saja kalau di bilang beban keluarga sakit tidak,-7,Negatif
mungkin mereka lupa yang mengajari membaca dan menulis dulu adalah guru,0,Netral
ya salam makanya lihat baik vidio fullnya,2,Positif
bukan beban negara sih yang benar itu beban rakyat indonesia mereka di gaji oleh rakyat,-5,Negatif
beban negara kak bukan membebani negara,-2,Negatif
kenapa dpr tidak disebut juga kalau begitu,-2,Negatif
guru apa dulu nih honor atau pns,0,Netral
yang itu nampaknya memang ai tapi pada pernyataan menkeu sebenarnya kalau diartikan juga bahwa negara menganggap gaji guru itu menjadi beban negara sungguh itu melukai hati guru senusantara,-3,Negatif
beras yang rupanya emas,-1,Negatif
buat ani ani juga harus di kasih makan lah,0,Netral
beras emas abang tau sendiri harga emas mahal,0,Netral
beras di dalamnya mas,0,Netral
yang di makanin kan gundik gundik dan selingkuhan ya,-3,Negatif
itu perbulan lo guys gaji ku saja tidak sampai tunjangan beras mereka,-3,Negatif
kita yang kuli saja uang makan itu sudah cukup,-4,Negatif
kan makan satu keluarga jadi juta sebenarnya masih kurang menurut mereka,2,Positif
kamu kan tidak mikir rakyat dan anggota dpr mikir kwan tau tidak,-4,Negatif
seluruh keluarganya dari kakek nenek orangtua anak pertama sampai anak terakhir keponakan kayanya tidak sampai juta juga,-3,Negatif
dipikir rakyat bdoh juta sebulan beras termahal pun tidak sampai segitu,-2,Negatif
info dong yang tau,-3,Negatif
beli beli ya di cina kak naik pesawat,1,Positif
sebulan ngabisin beras berapa kwintal tuh,0,Netral
saya juga dengar katanya kasihan kawan dpr,-1,Negatif
assalamuaalaikum wr wb ya allah bensin di jatah juta saya saja mau beli bensin liter saja mikir uangnya,0,Netral
katanya menteri keuangan kasihan dengan kawankawan dpr tapi tidak merasa kasihan dengan rakyatnya parah memang,-4,Negatif
dia bilang sedikit karena pas nyalon keluar banyak,-3,Negatif
kasihan sama kawan dpr terus yang mau kasihan sama rakyat yang kelaparan susah dengan kondisi ekonomi yang sekarang morat marit siapa bertanya dengan nada sound horeg,0,Netral
kasihan ya anggota dpr beras cuma juta makanx ganti di warteg saja ya biar rakyatx yang tidak makan,-2,Negatif
sri mulyani kasihan melihat anggota dpr yang mana gajinya sangat minim untuk beli beras saja tidak cukup,-5,Negatif
wow juta duit beras satu bulan,0,Netral
beras cuma jutabulan beras terbuat dari apa,-3,Negatif
lawak memang yang kasihan mah rakyat noh byr pajak duitnya buat byr mereka padahal mereka sudah kayak,-2,Negatif
cuma kami wong cilik lk kerjo sedino olh ewu pantesan kbh berebut untuk menduduki kursi dpr,-2,Negatif
terus kasihan dengan dpr tapi kenapa tidak kasihan sama rakyat yang langsung tidak punya gaji mau makan banting tulang mencari rongsok kan,-2,Negatif
rakyatnya bisa bertelur sendiri beras untuk rakyat cukup sekilo dalam setaun jadi jangan kasihani rakyat,-2,Negatif
anjrit beras di belikan cumaaaa juta,0,Netral
subhanallah lebih bersyukur orang yang jual sayur walaupun seikat seribu rupiah,2,Positif
tidak pernah segedek dan semuak ini,-1,Negatif
kasihan kok kawan dpr turun pakkkk kasihan untuk rakyat yang tidak makan,-2,Negatif
beras juta sekarung sekali makan,0,Netral
beras dari emas ya sampai juta untuk beras saja,0,Netral
beras cuma juta,0,Netral
ton padi juta boz gila orang orang dewan,0,Netral
tikusmah beda makannya bos rakus dan lahap,0,Netral
dia makan selumpur lumpur sawah ya abang,0,Netral
memang mereka itu tikus,-1,Negatif
kalau harga beras per kg berarti dia bisa dapat kg karung isi kgbisa buat makan se rt,1,Positif
berarti hari habis kg beras mereka makin,2,Positif
diabet diabet sudah kamu,0,Netral
itu lambung apa gentong anjir,-1,Negatif
pantas dpr gemuk gemuk banyak makan,-2,Negatif
memang kalau anggota dpr sekali makan piring apa ya,-3,Negatif
sudah beban anggotanya juga kebanyakan kak sama amrik yang negaranya guede banget saja masih banyakan dpr di indonesia,0,Netral
beban apaan justru beban di masyarakat dhn putusan undang atau apa itu yang makin mencekik masyarakat wg kita ini juragan di akalin buruh mereka buruh kita wg yang gaji kita,-6,Negatif
sebenarnya mereka itu beban negara,-1,Negatif
makanya masa pemilu dpr jangan ada yang pilih dengan cara nih dor tak ada,-3,Negatif
iyaini baru beban negara,-1,Negatif
bukan dpr saja mentri juga buat beban tidak ada manfaatnya semua mereka ini,-3,Negatif
mana kita yang harus bayar mereka lagi,-3,Negatif
modal jadi anggota dpr juga ratusan juta bahkan milyar cuma mengingatkan kalau kamu mau gaji besar harus modal besar juga,-2,Negatif
demi allah tidak iklas banget tunggu saja diahirat pembalasan ya,1,Positif
nah ini baru beban guru honor cuma perbulan kadang cair bulan perbulan malah di anggap beban negara sama bu kabinet ri rakabuming gaji guru pak tolong,-2,Negatif
iya itu beban negara tuh dpr mentri keuangan malah guru yang dkatskan beban negara gajih guru sebulan yang gd paling jtaan paling gd juta,-3,Negatif
segitu banyak masih meminta di kasihanin,0,Netral
mending gaji guru saja lebih berguna bagi bangsa,2,Positif
benar banget beban nagara tunjangan beras juta cuma pula katanya,-2,Negatif
dapat pensiun kerja cuma tahun,-1,Negatif
beban negara yang sesungguh nya mereka deh pe er,-2,Negatif
gajinya mah tidak sampai kak tapi tunjangannya menggila,-2,Negatif
harusnya sih begitu kan wakil rakyat dia bilang cuma lah kita gaji tidak seberapa masih menggaji dia ya salammm,-3,Negatif
setuju kalau tidak mau bubarkan,-2,Negatif
lebih berat dari kuli bangunan kali,0,Netral
di balik saja gajih umr jadi kayak dpr biar makmur juga rakyatnya,-3,Negatif
setuju gaji umr kab tulungagung jatim saja agar bisa merasakan umr tulungagung,-2,Negatif
gaji sama umr kak tapi tunjangan nya yang buanyakk,-1,Negatif
saya yakin pasti yang tidak ada nyalonkan bagus juga,-1,Negatif
pasti tidak ada yang mau jadi anggota dpr,-2,Negatif
biar umr juga nanti ngakal dari kiri kanan biar tetap gede keterima duitnya,-2,Negatif
gaji umr tunjangan ya cowok gede,0,Netral
iklas gue gaji dpr juta tapi include semuanya jangan ada embel lagi biar pada mikir,-3,Negatif
waduh ternaknya nongol nih,-1,Negatif
kamu yang ternak ya,0,Netral
mengumpulkan uang sebanyak banyaknya selama tahun,2,Positif
biar balik modal kan,-1,Negatif
kalau balik modal doang tidak ada untung minimal kali lipat,-4,Negatif
percuma ngeladenibikin emosi sendiri dia yang kegirangan,-2,Negatif
cuman usul doang gua juga visa,-1,Negatif
lah jangan debat sama ketua ormaskan dia dptjatah dari dewanklu mau duduk di kursi dpr,-1,Negatif
eh kamu tong masih hidup kamu,0,Netral
tapi gajihny hampir an sebulan diluar vi kegiatan,1,Positif
nongol mulu ini orang,-1,Negatif
pikiranmu dimana kamu lihat videonya krisdayanti sana,1,Positif
tain tle pahlawan negara,0,Netral
gue juga mau abang gaji ribu perbulan tapi tunjanganya gede,0,Netral
muka kamu bagus di gragaji,0,Netral
indonesia sama bebas apa kabar rakyatnya,-1,Negatif
setara gaji presiden anjir,2,Positif
karena aset sudah habis untuk masuk dpr belum balik modal wkwkwkk katanya,-4,Negatif
positive thinking kak dpr anaknya ada biji kali wkwkwkwkwkwkwk,0,Netral
cuman juta kalau kita guru ribu bilangnya apa,0,Netral
mati tetap di uruk tanah,1,Positif
cuman terus dio mengomong,0,Netral
dia kurang bersyukur masih kurang besar kali perutnya,-2,Negatif
tikus ya gtulah tidak puas,1,Positif
gila ya juta dibilang cuman sakit,1,Positif
makanya masih kor eh,0,Netral
benaran tidak punya empati,0,Netral
tidak syukur banget kan mending dibubarin saja asli beban negara,0,Netral
masih mengomong kasihan kawan bensin juta beas juta ku eta heula ge maneh molor ngajedog teu kamana oge anger meunang duit namah aya lieuran,1,Positif
lebih kak mengapai orang ngejar jadi dpr orang banyak uang panasnya yang menyusahkan rakyat logikanyankalo orang waras sih pasti lebih memilih jadi pengusahanatau kerja yang memang gajinya asli lebih dari gaji pokokndpr,3,Positif
lhayo mbak haduuuhh astaghfirullahh buta ya mereka mata telinga hati ketutuppp ya allah begitu bisanya mengomong menteri keuangan kasihan hahhh istighfarrr ya allah,3,Positif
ya gajih dpr indak naik karena gajian kalian sudah besar tidak seperti guru gajihnya jauh lebih kecil dari dpr,-3,Negatif
tunjangan beras juta cukup buat makan se rt sebulan,0,Netral
lucu dan kaget dengar kata bapak itu,-1,Negatif
tunjangan beras mereka sebulan gaji kita bulan,-2,Negatif
saya sebulan beras sekeluarga ribu,-1,Negatif
kita saja yang makannya sebakul sekali makan tidak sampai juta ya kannnnnn,-2,Negatif
gaji ku saja tidak nympe juta perbulan anjing banget,-1,Negatif
kayanya beras juta buat sekali hajatan bisa tiap bulan hajatan dia,-2,Negatif
wadududuh ya allah pak juta kalau buat rakyat sudah bisa nabung sudah buat uang saku anak lah ini cuma buat uang beras,3,Positif
beras emas ta itu kok sebulan juta perasaan makan sebulan orang cuma habis karung beras,-2,Negatif
busettttt yang makan satu kampung kali ya beras rebu buat bulan wkwkwkkw mungkin rakyat ya di rumah banyak,1,Positif
gaji rakyat juta sebulan,1,Positif
bisanya ya anggota itu bilang cuma sedangkan kita rakyat bertahan dengan gaji juta perbln dengan biaya hidup yang serba dar der dor,-2,Negatif
juta sebulan untuk beli beras dapat kg atau kwintal sebulan itu pun kalau harga per kg an misal anggota keluarganya berarti sebulan makan masing dapat kwintal beras orang kg per hari padahal di keluarga kami sehari kg saja cukup itupun beli beras yang harganya rbkg sudah cukup kadang beli yang rban,-5,Negatif
on ol kan gua gaji sebulan potong bpjs ketenagakerjaan bersih uang kos kirim kampung juta uang bensin sebulan paling irit ke makan sebulan paling irit saja ke anjj uang beras kau gaji kau juta kau bilang cuman ppkppk,0,Netral
modal jadi anggota dpr juga ratusan juta bahkan milyar cuma mengingatkan kalau kamu mau gaji besar harus modal besar juga,-2,Negatif
bisa beli beras berapa karung itu ya,0,Netral
tunjangan beras ku,-1,Negatif
kasihan kawan kawan dpr tapi tidak kasihan sama sekali dengan rakyatnya,-1,Negatif
tidak ingat ke rakyat yang kerja cuma gaji kjtini baru cuma pak,-3,Negatif
hanya dpr yang dikasihani,-2,Negatif
iya kak kasihan ya beras saja jatahnya cuma juta sebulan aku jatah beras rban sebulan seperti wow sedikit sekali cuma juta pasti sangat lapar sekali itu,-5,Negatif
padahal mereka itu sebelum jadi dewan dari kalangan berduit punya modal pas jadi dan bergaji wow masih juga ngeras kurang,-1,Negatif
jadi buruh pabrik yang gajinya juta rumah ngontrak beras bensin tunjangan,0,Netral
kasihan karena modal jadi dpr belum balik mungkin,-3,Negatif
duh kasihan banget,0,Netral
anjj kasihan sama orang yang gajinya belasan juta,1,Positif
tapi tidak kasihan sama masyarakat,0,Netral
iya kak kasihan ya,1,Positif
aduh emosi banget gue,1,Positif
wkwkw dia mikir kagasi bapanya siapasi ini,-1,Negatif
anjirrlah bacanyaaaa kayak lo galiattt ya rakyattt loh bisa bisanya mengomong kasihan padahal gaji jetiii itu sudah bisa dibilang lebih dari cukupppp pakkk buat keluargaaamuuu sumpaaa gue sebagai rakyat tidak ikhlas banget bayar pajakk dan semua sekarang dipajakinnn buatt bayar merekaaa,-1,Negatif
kasihan bubarkan biar tidak ada kerja enak mereka,0,Netral
namabubarkan intansi hama tikus got dpr,-2,Negatif
iya jawabannya gapok juta sama tunjangan juta,2,Positif
itu yang didapat setiap bulan kalau yang diterima setiap kali sama kali pertahun totalnya sama lebih atau juta an,0,Netral
nah ini naik lagi tunjangan juta lebih,1,Positif
semoga gaji kita bisa sama kayak mereka yaaaaamiin,0,Netral
bagi saya orang kecil sangat sakit hati dengar ya juga bunda,-1,Negatif
dulu saudaraku jadi dpr di tahun dan itu gaji pokok jttuakan kalau sekarang berapa,-2,Negatif
amin ya rabbalalamin tapi guru beban negara katanya bundpadahal gapok kita juta,1,Positif
bu sudah prgi sana tidur dulu yhh,0,Netral
siapsapa tau bangun tidur gajinya bisa sama,0,Netral
maaf kebalik kak doanya semoga gaji mereka bisa sama kayak kita amin,-1,Negatif
tunjangan apreasi jta kunjungan dapil,-1,Negatif
jangan lupa brdoa sebelum tidurr karena nanti malah mimpi buruk yang didapatnya,-4,Negatif
tanggal juta kali juta tanggal juta kali juta dana aspirasi juta kali sama dana kunjungan dapil juta kali sama total sama sebelum tahun mantap itu rincihannya yang di vt pas krisdayanti di tanya,9,Positif
betul aku juga sudah lihat,1,Positif
kasihan ya anggota dpr menyedikan melebihi pengemis di jalanan,-1,Negatif
rakyat banyak yang kelaparan dan kesusahan kalian pasti tidak tau kan para penghuni kantor dpr,-1,Negatif
betul buktinyesel dengarmya sementara kita rakyatnya untuk beli beras saja susahmereka blakang sedikit pulakk itu,-4,Negatif
datang duduk tidur lanjut korupsi,-2,Negatif
menghilangkan duit pajak,-1,Negatif
nah itu gue tidak pernah lihat orang dewan yurun kelapangan blusukan saja gakpernah,-2,Negatif
kan sudah dulu waktu nylonin sekarang mah ogah gue,-1,Negatif
menghitung duit rakyatuntuk keluargasisa nya buat beli mobil,2,Positif
krj ya tidur bos sudah kenyang perut mata ya ngatuk,4,Positif
uang negara mereka yang ngabisin,-1,Negatif
kerja ya cuman duduk sambil joged joged,2,Positif
ada juga yang betul kerja demi rakyat cuma tidak tersorot kamera saja dari anggota paling yang betul kerja demi dapilnya,-5,Negatif
duduk dikursi empuk main mulut dan kemungkinan korupsi juga,-3,Negatif
datang duduk tanda tangan bobok lainya ya lihat live,2,Positif
ngorok saat rapat terus melek tanda tangan deh itu kerjaanya,-1,Negatif
kata sri mulyancok guru adalah beban negaranegara makin amburadul di pimpin orang orang gila semua,-2,Negatif
ya allah kak sabarr banget itu juga masih di anggap beban negara sama sih sri,2,Positif
wow ini tidak beban negara ya masa guru gaji ribu yang sering macet jadi beban negara miriss ya,0,Netral
kalau guru jadi beban negara tidak usah boleh ada lah pendidikan untuk anak baangsa,-3,Negatif
sri kon minggat nih saja,-1,Negatif
sri kon tuku trasi wae ora usah bali,-2,Negatif
dijogetin saja kata siwowo,-2,Negatif
trkadang saya heran gaji guru dan gaji para medis malahan lebih kecil padahal kedua itu paling brjasa paling membantu pendidikan dan keselamatan,0,Netral
iya ya bensin saja beli sendiri lah mereka sudah sglnya di bayar beras saja sampai juta samp bensin di bayarin tapi kerja cuma tidur sama ngemil di saat rapat boro mengurusi rakyat yang sudah memilih mereka,-2,Negatif
guru kalau sudah pns gede kakak tapi kalau honorer menang kecil,-2,Negatif
tunjangannya kakak yang gede,-1,Negatif
medis pns gol gajinya juta tidak kenal tanggal merahbelum lagi terpojokkan karena kebijakan bpjs ya allahikhlaskan hati,0,Netral
itulah ketika harga naik malah di naikan gaji anggota dpr lalu rakyat kecil bagaimana nasibnya kan tidak mereka tidak pikirkan mereka sebagai prwakilan suara rakyat malahan hanya untuk memperkaya diri sendiri urusan perut rakyat trisi apa tidak mereka tidak mau tau saya trkadang kasihan dengan guru honorer dan tenaga medis yang gaji ya sangat jauh dari logika yang di mana sekolah kesehatan biaya mahal karena saya sudah rasakan anak saya sekolah bidan benar benar terkuras,-11,Negatif
iya banget kecil nya,0,Netral
