normalisasi,Score,Sentiment,tokenize,stopword removal
pantesan banyak mau calon anggota dpr semua kbutuhan di tanggung geratis pemerintah pakai duit pajak hasil duit rakyat yang mendrita yang ngumpulin duit seribu dua ribu jualan keci kcilan di psar,-5,Negatif,"['pantesan', 'banyak', 'mau', 'calon', 'anggota', 'dpr', 'semua', 'kbutuhan', 'di', 'tanggung', 'geratis', 'pemerintah', 'pakai', 'duit', 'pajak', 'hasil', 'duit', 'rakyat', 'yang', 'mendrita', 'yang', 'ngumpulin', 'duit', 'seribu', 'dua', 'ribu', 'jualan', 'keci', 'kcilan', 'di', 'psar']",pantesan calon anggota dpr kbutuhan tanggung geratis pemerintah duit pajak hasil duit rakyat mendrita ngumpulin duit seribu ribu jualan keci kcilan psar
garelo kabeh nu divideo,-1,Negatif,"['garelo', 'kabeh', 'nu', 'divideo']",garelo kabeh nu divideo
yang tidak kerja dipecat semena sama tikus kantor bagaimana nasibnya,-1,Negatif,"['yang', 'tidak', 'kerja', 'dipecat', 'semena', 'sama', 'tikus', 'kantor', 'bagaimana', 'nasibnya']",kerja dipecat semena tikus kantor nasibnya
kayak tidak ada beban hidup sama sekali,-3,Negatif,"['kayak', 'tidak', 'ada', 'beban', 'hidup', 'sama', 'sekali']",beban hidup
astaghfirullah hal adzim,-1,Negatif,"['astaghfirullah', 'hal', 'adzim']",astaghfirullah adzim
di renovasi saja rumah dinas ya dari pada tiap bulan mengasih juta,0,Netral,"['di', 'renovasi', 'saja', 'rumah', 'dinas', 'ya', 'dari', 'pada', 'tiap', 'bulan', 'mengasih', 'juta']",renovasi rumah dinas mengasih juta
banyk rakyat miskin yang tidak punya rumah anak yatim di jalanan dan janda tua yang hidup sebatang kara,-5,Negatif,"['banyk', 'rakyat', 'miskin', 'yang', 'tidak', 'punya', 'rumah', 'anak', 'yatim', 'di', 'jalanan', 'dan', 'janda', 'tua', 'yang', 'hidup', 'sebatang', 'kara']",banyk rakyat miskin rumah anak yatim jalanan janda tua hidup sebatang kara
jutablm lagi dana aspirasidana kunjungan dllbisa mencapai jtaan,0,Netral,"['jutablm', 'lagi', 'dana', 'aspirasidana', 'kunjungan', 'dllbisa', 'mencapai', 'jtaan']",jutablm dana aspirasidana kunjungan dllbisa mencapai jtaan
rumah dinas guru kosong walaupun gaji ya,2,Positif,"['rumah', 'dinas', 'guru', 'kosong', 'walaupun', 'gaji', 'ya']",rumah dinas guru kosong gaji
bukan ya memikirkan masalah guru bagaimana ini supaya pintas negara ini,-2,Negatif,"['bukan', 'ya', 'memikirkan', 'masalah', 'guru', 'bagaimana', 'ini', 'supaya', 'pintas', 'negara', 'ini']",memikirkan guru pintas negara
tidak usah bayar pajak se indonesia,-3,Negatif,"['tidak', 'usah', 'bayar', 'pajak', 'se', 'indonesia']",bayar pajak indonesia
menangis banget lihat ini yatuhann,1,Positif,"['menangis', 'banget', 'lihat', 'ini', 'yatuhann']",menangis lihat yatuhann
ojol jakarta wakil rakyatnya kayarakyatnya menderita wkwk aturan sama dong kalau mau kayak naamanya kan wakil rakyattttt,-2,Negatif,"['ojol', 'jakarta', 'wakil', 'rakyatnya', 'kayarakyatnya', 'menderita', 'wkwk', 'aturan', 'sama', 'dong', 'kalau', 'mau', 'kayak', 'naamanya', 'kan', 'wakil', 'rakyattttt']",ojol jakarta wakil rakyatnya kayarakyatnya menderita aturan naamanya wakil rakyattttt
juta sudah bisa kebeli tanah sama bahan bangunan ya,2,Positif,"['juta', 'sudah', 'bisa', 'kebeli', 'tanah', 'sama', 'bahan', 'bangunan', 'ya']",juta kebeli tanah bahan bangunan
baby memang rakyat ya pada miskin buat makan saja susah,-1,Negatif,"['baby', 'memang', 'rakyat', 'ya', 'pada', 'miskin', 'buat', 'makan', 'saja', 'susah']",baby rakyat miskin makan susah
kenapa mesti ada tunjangan sebesar itu,-3,Negatif,"['kenapa', 'mesti', 'ada', 'tunjangan', 'sebesar', 'itu']",mesti tunjangan
mohon bantuan pak prabowo untuk mengeluarkan perpres uu perampasan aset karena perpres tidak perlu persetujuan dpr kami rakyat hanya mintanya itu selama ini kita di tipu perlu persetujuan dpr padahal perpres tidak perlu kecuali undang yang buat dpr baru perlu persetujuan ketua dpr yang tidak paham bisa tanya om google dan chatgpt,-2,Negatif,"['mohon', 'bantuan', 'pak', 'prabowo', 'untuk', 'mengeluarkan', 'perpres', 'uu', 'perampasan', 'aset', 'karena', 'perpres', 'tidak', 'perlu', 'persetujuan', 'dpr', 'kami', 'rakyat', 'hanya', 'mintanya', 'itu', 'selama', 'ini', 'kita', 'di', 'tipu', 'perlu', 'persetujuan', 'dpr', 'padahal', 'perpres', 'tidak', 'perlu', 'kecuali', 'undang', 'yang', 'buat', 'dpr', 'baru', 'perlu', 'persetujuan', 'ketua', 'dpr', 'yang', 'tidak', 'paham', 'bisa', 'tanya', 'om', 'google', 'dan', 'chatgpt']",mohon bantuan prabowo mengeluarkan perpres uu perampasan aset perpres persetujuan dpr rakyat mintanya tipu persetujuan dpr perpres kecuali undang dpr persetujuan ketua dpr paham om google chatgpt
rakyat dibantu segitu banyak juga ngapa masak dpr saja yang dibantu coba rakyat dapat bantuan lebih pasti senang rakyat ya dapat blt cuma rebu dpr nya ratus ratus juta bantuan ya puluh plluluh juta piye tapi iki,3,Positif,"['rakyat', 'dibantu', 'segitu', 'banyak', 'juga', 'ngapa', 'masak', 'dpr', 'saja', 'yang', 'dibantu', 'coba', 'rakyat', 'dapat', 'bantuan', 'lebih', 'pasti', 'senang', 'rakyat', 'ya', 'dapat', 'blt', 'cuma', 'rebu', 'dpr', 'nya', 'ratus', 'ratus', 'juta', 'bantuan', 'ya', 'puluh', 'plluluh', 'juta', 'piye', 'tapi', 'iki']",rakyat dibantu segitu ngapa masak dpr dibantu coba rakyat bantuan senang rakyat blt rebu dpr nya ratus ratus juta bantuan puluh plluluh juta piye iki
sih eko kok wagu joged ya ya koto faria,3,Positif,"['sih', 'eko', 'kok', 'wagu', 'joged', 'ya', 'ya', 'koto', 'faria']",eko wagu joged koto faria
kasihan kami kedua orang tua sudah tiada sejak kami kelas sd abang yang ngasuh kami tidak mampu lagi sekolahkan kami kami terpaksa berhenti sekolah sementara baru masuk sama kami kembar tidak bisa live sejak di tutup dari live kami bisa jajan walaupun dapat gift dikit bantu kami sekolah lagi,-9,Negatif,"['kasihan', 'kami', 'kedua', 'orang', 'tua', 'sudah', 'tiada', 'sejak', 'kami', 'kelas', 'sd', 'abang', 'yang', 'ngasuh', 'kami', 'tidak', 'mampu', 'lagi', 'sekolahkan', 'kami', 'kami', 'terpaksa', 'berhenti', 'sekolah', 'sementara', 'baru', 'masuk', 'sama', 'kami', 'kembar', 'tidak', 'bisa', 'live', 'sejak', 'di', 'tutup', 'dari', 'live', 'kami', 'bisa', 'jajan', 'walaupun', 'dapat', 'gift', 'dikit', 'bantu', 'kami', 'sekolah', 'lagi']",kasihan orang tua tiada kelas sd ngasuh sekolahkan terpaksa berhenti sekolah masuk kembar live tutup live jajan gift dikit bantu sekolah
sudah akhirnya rumah ditunjang senilai itu juga,0,Netral,"['sudah', 'akhirnya', 'rumah', 'ditunjang', 'senilai', 'itu', 'juga']",rumah ditunjang senilai
prestasi mereka untuk rakyat apa sih wakil rakyat krjanya apa sih,-2,Negatif,"['prestasi', 'mereka', 'untuk', 'rakyat', 'apa', 'sih', 'wakil', 'rakyat', 'krjanya', 'apa', 'sih']",prestasi rakyat wakil rakyat krjanya
juta cuma yang dikasih lihat saja sbnrnya lebih dari itu bu kd pernh spilll,-1,Negatif,"['juta', 'cuma', 'yang', 'dikasih', 'lihat', 'saja', 'sbnrnya', 'lebih', 'dari', 'itu', 'bu', 'kd', 'pernh', 'spilll']",juta dikasih lihat sbnrnya kd pernh spilll
weh tunjangan listrik pun ada edaan hidup ditanggung negara yang duitnya dari rakyat wow banget baru sadar kenapa banyak orang miskin karena pada sibuk bayar pajak buat bayarin listrik beras dll buat dpr tercinta allahuakbar,-4,Negatif,"['weh', 'tunjangan', 'listrik', 'pun', 'ada', 'edaan', 'hidup', 'ditanggung', 'negara', 'yang', 'duitnya', 'dari', 'rakyat', 'wow', 'banget', 'baru', 'sadar', 'kenapa', 'banyak', 'orang', 'miskin', 'karena', 'pada', 'sibuk', 'bayar', 'pajak', 'buat', 'bayarin', 'listrik', 'beras', 'dll', 'buat', 'dpr', 'tercinta', 'allahuakbar']",weh tunjangan listrik edaan hidup ditanggung negara duitnya rakyat wow sadar orang miskin sibuk bayar pajak bayarin listrik beras dll dpr tercinta allahuakbar
haaaaa rumah seperti itu ndk layak huni eh rumahku eh salah rumah bapakku lebih ndk layak huni sudah terbuat dari kayu kalau hujan bocor lantai masih tanah tapi kami sekeluarga sudah bersyukur masih diberi tempat tinggal dan masih bernafas,-5,Negatif,"['haaaaa', 'rumah', 'seperti', 'itu', 'ndk', 'layak', 'huni', 'eh', 'rumahku', 'eh', 'salah', 'rumah', 'bapakku', 'lebih', 'ndk', 'layak', 'huni', 'sudah', 'terbuat', 'dari', 'kayu', 'kalau', 'hujan', 'bocor', 'lantai', 'masih', 'tanah', 'tapi', 'kami', 'sekeluarga', 'sudah', 'bersyukur', 'masih', 'diberi', 'tempat', 'tinggal', 'dan', 'masih', 'bernafas']",haaaaa rumah ndk layak huni eh rumahku eh salah rumah bapakku ndk layak huni terbuat kayu hujan bocor lantai tanah sekeluarga bersyukur tinggal bernafas
yang setuju puan menggdurkan diri dari kursi ketua dpr,-3,Negatif,"['yang', 'setuju', 'puan', 'menggdurkan', 'diri', 'dari', 'kursi', 'ketua', 'dpr']",setuju puan menggdurkan kursi ketua dpr
juta apa sama,1,Positif,"['juta', 'apa', 'sama']",juta
yang diminta pemimpinrakyatyaitu pemberantasan aset koruptor agar uang rakyat aman untuk rakyat,-2,Negatif,"['yang', 'diminta', 'pemimpinrakyatyaitu', 'pemberantasan', 'aset', 'koruptor', 'agar', 'uang', 'rakyat', 'aman', 'untuk', 'rakyat']",pemimpinrakyatyaitu pemberantasan aset koruptor uang rakyat aman rakyat
nah ini yang jadi beban rakyat,-2,Negatif,"['nah', 'ini', 'yang', 'jadi', 'beban', 'rakyat']",beban rakyat
indonesia tidak kekurangan orang pintar tapi kekurangan orang jujur dan waras,-3,Negatif,"['indonesia', 'tidak', 'kekurangan', 'orang', 'pintar', 'tapi', 'kekurangan', 'orang', 'jujur', 'dan', 'waras']",indonesia kekurangan orang pintar kekurangan orang jujur waras
cari orang ini semuanya,-2,Negatif,"['cari', 'orang', 'ini', 'semuanya']",cari orang
cuma mikir ini doang tong paling yang botak cuma kepala,-3,Negatif,"['cuma', 'mikir', 'ini', 'doang', 'tong', 'paling', 'yang', 'botak', 'cuma', 'kepala']",mikir tong botak kepala
apa layak kamu bilang bapak kau layak,-1,Negatif,"['apa', 'layak', 'kamu', 'bilang', 'bapak', 'kau', 'layak']",layak bilang kau layak
mending bubarkan saja dpr tidak usah ada dpr enak banget malahan rakyat kecil yang makin tertindas,-4,Negatif,"['mending', 'bubarkan', 'saja', 'dpr', 'tidak', 'usah', 'ada', 'dpr', 'enak', 'banget', 'malahan', 'rakyat', 'kecil', 'yang', 'makin', 'tertindas']",mending bubarkan dpr dpr enak rakyat tertindas
negara ternyata punya power untuk mematikan fitur livetiktok seketika artinya kalau mereka serius judol dan pinjol sudah lama lenyap,-3,Negatif,"['negara', 'ternyata', 'punya', 'power', 'untuk', 'mematikan', 'fitur', 'livetiktok', 'seketika', 'artinya', 'kalau', 'mereka', 'serius', 'judol', 'dan', 'pinjol', 'sudah', 'lama', 'lenyap']",negara power mematikan fitur livetiktok serius judol pinjol lenyap
pajak naik terus kis banyak yang di cabut di desa kuuorang pun ngmong bantu an di cabut kis di cabut hadeeh orang kecil kok mau di bnuh pelan dgangan petani ambrook,-6,Negatif,"['pajak', 'naik', 'terus', 'kis', 'banyak', 'yang', 'di', 'cabut', 'di', 'desa', 'kuuorang', 'pun', 'ngmong', 'bantu', 'an', 'di', 'cabut', 'kis', 'di', 'cabut', 'hadeeh', 'orang', 'kecil', 'kok', 'mau', 'di', 'bnuh', 'pelan', 'dgangan', 'petani', 'ambrook']",pajak kis cabut desa kuuorang ngmong bantu an cabut kis cabut hadeeh orang bnuh pelan dgangan petani ambrook
opo seng mbok tandur bakale cukol,0,Netral,"['opo', 'seng', 'mbok', 'tandur', 'bakale', 'cukol']",opo seng mbok tandur bakale cukol
mereka sudah kayak masih di beri tunjangan tidak lihat rakyat beli beras satu kilo harus banting tulang itu sih kalau dapat mikir dong jangan cuman memikirkan bagaimana caranya cepat kayak,-8,Negatif,"['mereka', 'sudah', 'kayak', 'masih', 'di', 'beri', 'tunjangan', 'tidak', 'lihat', 'rakyat', 'beli', 'beras', 'satu', 'kilo', 'harus', 'banting', 'tulang', 'itu', 'sih', 'kalau', 'dapat', 'mikir', 'dong', 'jangan', 'cuman', 'memikirkan', 'bagaimana', 'caranya', 'cepat', 'kayak']",tunjangan lihat rakyat beli beras kilo banting tulang mikir cuman memikirkan cepat
ketahuan yang tidak suka bayar pajak sama tidak kerja,-3,Negatif,"['ketahuan', 'yang', 'tidak', 'suka', 'bayar', 'pajak', 'sama', 'tidak', 'kerja']",ketahuan suka bayar pajak kerja
mikir doang kerja kagak,0,Netral,"['mikir', 'doang', 'kerja', 'kagak']",mikir kerja kagak
anak berit ini ada saja di mana,-2,Negatif,"['anak', 'berit', 'ini', 'ada', 'saja', 'di', 'mana']",anak berit
wkwkwkjangan loh keluarga anggota dpr ya,0,Netral,"['wkwkwkjangan', 'loh', 'keluarga', 'anggota', 'dpr', 'ya']",wkwkwkjangan keluarga anggota dpr
dmnamana menampak dajjal ini,-1,Negatif,"['dmnamana', 'menampak', 'dajjal', 'ini']",dmnamana menampak dajjal
mau ku lacak tidak nih orang,-1,Negatif,"['mau', 'ku', 'lacak', 'tidak', 'nih', 'orang']",ku lacak orang
maklum baru siuman,1,Positif,"['maklum', 'baru', 'siuman']",maklum siuman
lo kok muncul di era pdi kalah,-1,Negatif,"['lo', 'kok', 'muncul', 'di', 'era', 'pdi', 'kalah']",muncul era pdi kalah
horor banget dia muncul dimana,-1,Negatif,"['horor', 'banget', 'dia', 'muncul', 'dimana']",horor muncul dimana
biasa titisan akun dpr ini mah,0,Netral,"['biasa', 'titisan', 'akun', 'dpr', 'ini', 'mah']",titisan akun dpr
seharus ya yang di keluar kan jangan uya kuya doang sama eko patrio itu kan yang joget banyak kenapa tidak di kelurkan dari dprd,-5,Negatif,"['seharus', 'ya', 'yang', 'di', 'keluar', 'kan', 'jangan', 'uya', 'kuya', 'doang', 'sama', 'eko', 'patrio', 'itu', 'kan', 'yang', 'joget', 'banyak', 'kenapa', 'tidak', 'di', 'kelurkan', 'dari', 'dprd']",seharus uya kuya eko patrio joget kelurkan dprd
kerja dpr itu ampas,-1,Negatif,"['kerja', 'dpr', 'itu', 'ampas']",kerja dpr ampas
ya harus ya tidak usah joget joget dong pikirin nih rakyat makin saja susah sejahterakan rakyat ya kami belum merasai kesejahterakan dari kalian ini,-1,Negatif,"['ya', 'harus', 'ya', 'tidak', 'usah', 'joget', 'joget', 'dong', 'pikirin', 'nih', 'rakyat', 'makin', 'saja', 'susah', 'sejahterakan', 'rakyat', 'ya', 'kami', 'belum', 'merasai', 'kesejahterakan', 'dari', 'kalian', 'ini']",joget joget pikirin rakyat susah sejahterakan rakyat merasai kesejahterakan
harus ya mereka itu nolak lebih baik buat rakyat biar mereka itu aman dasar tikus,0,Netral,"['harus', 'ya', 'mereka', 'itu', 'nolak', 'lebih', 'baik', 'buat', 'rakyat', 'biar', 'mereka', 'itu', 'aman', 'dasar', 'tikus']",nolak rakyat aman dasar tikus
mending semua rakyat indonesia jadi dpr semua biar hidupnya bisa kejaamin seumur hidup,-2,Negatif,"['mending', 'semua', 'rakyat', 'indonesia', 'jadi', 'dpr', 'semua', 'biar', 'hidupnya', 'bisa', 'kejaamin', 'seumur', 'hidup']",mending rakyat indonesia dpr hidupnya kejaamin seumur hidup
kepo loh sarita,0,Netral,"['kepo', 'loh', 'sarita']",kepo sarita
real beban negara,0,Netral,"['real', 'beban', 'negara']",real beban negara
lagian tidak ngotak orang gajinya sudah gede sgala listrik ada tunjangan orang miskin tidak bisa bayar dicabut listriknya kocak,-6,Negatif,"['lagian', 'tidak', 'ngotak', 'orang', 'gajinya', 'sudah', 'gede', 'sgala', 'listrik', 'ada', 'tunjangan', 'orang', 'miskin', 'tidak', 'bisa', 'bayar', 'dicabut', 'listriknya', 'kocak']",ngotak orang gajinya gede sgala listrik tunjangan orang miskin bayar dicabut listriknya kocak
gur mikir ini penderitaan rakyat lah utang ku kok panggah tidak disaur karo pemerintah yohanes kih mikir tidak tapi sukur nyocot saja,-5,Negatif,"['gur', 'mikir', 'ini', 'penderitaan', 'rakyat', 'lah', 'utang', 'ku', 'kok', 'panggah', 'tidak', 'disaur', 'karo', 'pemerintah', 'yohanes', 'kih', 'mikir', 'tidak', 'tapi', 'sukur', 'nyocot', 'saja']",gur mikir penderitaan rakyat utang ku panggah disaur karo pemerintah yohanes kih mikir sukur nyocot
agak lain ini manusia,0,Netral,"['agak', 'lain', 'ini', 'manusia']",manusia
dibuang bapaknya kasihan jadi ternak mulyono sekarang,-1,Negatif,"['dibuang', 'bapaknya', 'kasihan', 'jadi', 'ternak', 'mulyono', 'sekarang']",dibuang bapaknya kasihan ternak mulyono
makanya tidak usah di komen biar malu sendiri,-3,Negatif,"['makanya', 'tidak', 'usah', 'di', 'komen', 'biar', 'malu', 'sendiri']",komen malu
ngos jongos selalu muncul,0,Netral,"['ngos', 'jongos', 'selalu', 'muncul']",ngos jongos muncul
maaf tapi kehidupan kamu adalah hasil dari dpr yang memikirkan rakyat,-2,Negatif,"['maaf', 'tapi', 'kehidupan', 'kamu', 'adalah', 'hasil', 'dari', 'dpr', 'yang', 'memikirkan', 'rakyat']",maaf kehidupan hasil dpr memikirkan rakyat
kamu enak bos coba kamu gaji kamu kecil paling trisaak triaaak,0,Netral,"['kamu', 'enak', 'bos', 'coba', 'kamu', 'gaji', 'kamu', 'kecil', 'paling', 'trisaak', 'triaaak']",enak coba gaji trisaak triaaak
yohanes bos cangcut selalu ada,1,Positif,"['yohanes', 'bos', 'cangcut', 'selalu', 'ada']",yohanes cangcut
hanya mikirkan tanpa ada tindakansolusi itu tll,-2,Negatif,"['hanya', 'mikirkan', 'tanpa', 'ada', 'tindakansolusi', 'itu', 'tll']",mikirkan tindakansolusi tll
anak anjj ini lagi,-2,Negatif,"['anak', 'anjj', 'ini', 'lagi']",anak anjj
tumben pintar sih udin,-1,Negatif,"['tumben', 'pintar', 'sih', 'udin']",tumben pintar udin
terserah kau yohanes atur lah kau,-1,Negatif,"['terserah', 'kau', 'yohanes', 'atur', 'lah', 'kau']",terserah kau yohanes atur kau
tadi benar komen ya sekarang kumat lagi,-1,Negatif,"['tadi', 'benar', 'komen', 'ya', 'sekarang', 'kumat', 'lagi']",komen kumat
penderitaan kamu saja kali,-2,Negatif,"['penderitaan', 'kamu', 'saja', 'kali']",penderitaan kali
yangmu lo anjir,0,Netral,"['yangmu', 'lo', 'anjir']",yangmu
gaji dpr sehari juta sedangkan gaji guru sebulan dibwah satu juta,3,Positif,"['gaji', 'dpr', 'sehari', 'juta', 'sedangkan', 'gaji', 'guru', 'sebulan', 'dibwah', 'satu', 'juta']",gaji dpr sehari juta gaji guru sebulan dibwah juta
tidak perlu begitu apresiasi kasih penghargaan bukan joget,0,Netral,"['tidak', 'perlu', 'begitu', 'apresiasi', 'kasih', 'penghargaan', 'bukan', 'joget']",apresiasi kasih penghargaan joget
meminta tunjangan tapi kerja ya enggak becus wakil rakyat tapi kerja ya enggak mencerminkan sebagai wakil rakyat,3,Positif,"['meminta', 'tunjangan', 'tapi', 'kerja', 'ya', 'enggak', 'becus', 'wakil', 'rakyat', 'tapi', 'kerja', 'ya', 'enggak', 'mencerminkan', 'sebagai', 'wakil', 'rakyat']",tunjangan kerja becus wakil rakyat kerja mencerminkan wakil rakyat
tidak layak hei bro masih banyak warga indonesia yang tinggal di kolong jembatan,-3,Negatif,"['tidak', 'layak', 'hei', 'bro', 'masih', 'banyak', 'warga', 'indonesia', 'yang', 'tinggal', 'di', 'kolong', 'jembatan']",layak hei bro warga indonesia tinggal kolong jembatan
mulai deh lo ya bikin kesel,1,Positif,"['mulai', 'deh', 'lo', 'ya', 'bikin', 'kesel']",bikin kesel
bubar kan dpr coo,0,Netral,"['bubar', 'kan', 'dpr', 'coo']",bubar dpr coo
iklasin saja bibir mu,-1,Negatif,"['iklasin', 'saja', 'bibir', 'mu']",iklasin bibir mu
gue setuju dengan jin satu ini karena memang mereka dpr sudah berhasil membuat menderita melarat yang sesuai dengan visimisi mereka blok,-2,Negatif,"['gue', 'setuju', 'dengan', 'jin', 'satu', 'ini', 'karena', 'memang', 'mereka', 'dpr', 'sudah', 'berhasil', 'membuat', 'menderita', 'melarat', 'yang', 'sesuai', 'dengan', 'visimisi', 'mereka', 'blok']",setuju jin dpr berhasil menderita melarat sesuai visimisi blok
robot maklum tidak ada akal,-1,Negatif,"['robot', 'maklum', 'tidak', 'ada', 'akal']",robot maklum akal
hahahahah minum obat dulu,-2,Negatif,"['hahahahah', 'minum', 'obat', 'dulu']",hahahahah minum obat
gaji melonjak proyek cuan melonjak habis dah uang rakyat di kuresssmiris miris,-2,Negatif,"['gaji', 'melonjak', 'proyek', 'cuan', 'melonjak', 'habis', 'dah', 'uang', 'rakyat', 'di', 'kuresssmiris', 'miris']",gaji melonjak proyek cuan melonjak habis dah uang rakyat kuresssmiris miris
yang kayak makin kayak yang miskin tetap miskin,-4,Negatif,"['yang', 'kayak', 'makin', 'kayak', 'yang', 'miskin', 'tetap', 'miskin']",miskin miskin
sebalik ya joget ancurrrrrrr,1,Positif,"['sebalik', 'ya', 'joget', 'ancurrrrrrr']",sebalik joget ancurrrrrrr
tidak sebanding dengan gaji buruh woyy kamu makan gaji buta,-2,Negatif,"['tidak', 'sebanding', 'dengan', 'gaji', 'buruh', 'woyy', 'kamu', 'makan', 'gaji', 'buta']",sebanding gaji buruh woyy makan gaji buta
jangan ada yang menyerang cukup kunjungan dan silahturami,-4,Negatif,"['jangan', 'ada', 'yang', 'menyerang', 'cukup', 'kunjungan', 'dan', 'silahturami']",menyerang kunjungan silahturami
datengin rumah ya satu persatu,2,Positif,"['datengin', 'rumah', 'ya', 'satu', 'persatu']",datengin rumah persatu
kalian tau kan sekarang kenapa dulu almgusdur mau bubarin sarang penyamun dpr itu,-2,Negatif,"['kalian', 'tau', 'kan', 'sekarang', 'kenapa', 'dulu', 'almgusdur', 'mau', 'bubarin', 'sarang', 'penyamun', 'dpr', 'itu']",almgusdur bubarin sarang penyamun dpr
gaji kamu cuma blakang ya doang juta belum potongan lain ya awoakwoak,0,Netral,"['gaji', 'kamu', 'cuma', 'blakang', 'ya', 'doang', 'juta', 'belum', 'potongan', 'lain', 'ya', 'awoakwoak']",gaji blakang juta potongan awoakwoak
dibayar berapa kamu bang,1,Positif,"['dibayar', 'berapa', 'kamu', 'bang']",dibayar
yang kayak dikayakaan yang miskin dimiskinkan,-4,Negatif,"['yang', 'kayak', 'dikayakaan', 'yang', 'miskin', 'dimiskinkan']",dikayakaan miskin dimiskinkan
sila ke lima sudah di perdilikan lagi,-1,Negatif,"['sila', 'ke', 'lima', 'sudah', 'di', 'perdilikan', 'lagi']",sila perdilikan
aduuhmau jadi apa negara ini,-1,Negatif,"['aduuhmau', 'jadi', 'apa', 'negara', 'ini']",aduuhmau negara
yang kayak makin kayak yang miskin makin miskin sedangkan bayar pajak wajib,-6,Negatif,"['yang', 'kayak', 'makin', 'kayak', 'yang', 'miskin', 'makin', 'miskin', 'sedangkan', 'bayar', 'pajak', 'wajib']",miskin miskin bayar pajak wajib
tahu jangan sampai coblos semua anggota dewan,-4,Negatif,"['tahu', 'jangan', 'sampai', 'coblos', 'semua', 'anggota', 'dewan']",coblos anggota dewan
ri rakabuming,0,Netral,"['ri', 'rakabuming']",ri rakabuming
pak prabowoooo pakkkkkk kokk tegaa sekali sama rakyat pakkkk,0,Netral,"['pak', 'prabowoooo', 'pakkkkkk', 'kokk', 'tegaa', 'sekali', 'sama', 'rakyat', 'pakkkk']",prabowoooo pakkkkkk kokk tegaa rakyat pakkkk
ber senang lah dulu kalian semua pejabat sbentar lagi kalian akan menghadapi hukum adil alam yang lebih sadis,-4,Negatif,"['ber', 'senang', 'lah', 'dulu', 'kalian', 'semua', 'pejabat', 'sbentar', 'lagi', 'kalian', 'akan', 'menghadapi', 'hukum', 'adil', 'alam', 'yang', 'lebih', 'sadis']",ber senang pejabat sbentar menghadapi hukum adil alam sadis
saya dari dulu tidak pernah coblos anggota dewan anda baru mulai di,-5,Negatif,"['saya', 'dari', 'dulu', 'tidak', 'pernah', 'coblos', 'anggota', 'dewan', 'anda', 'baru', 'mulai', 'di']",coblos anggota dewan
beras juta cuma ente makan sebulan berapa karung bos,1,Positif,"['beras', 'juta', 'cuma', 'ente', 'makan', 'sebulan', 'berapa', 'karung', 'bos']",beras juta ente makan sebulan karung
sampai uang bensin pun di tanggung negara biaya makan pun di tanggung sekarang kita bisa menilai kan siapa beban yang sebenarnya,-6,Negatif,"['sampai', 'uang', 'bensin', 'pun', 'di', 'tanggung', 'negara', 'biaya', 'makan', 'pun', 'di', 'tanggung', 'sekarang', 'kita', 'bisa', 'menilai', 'kan', 'siapa', 'beban', 'yang', 'sebenarnya']",uang bensin tanggung negara biaya makan tanggung menilai beban
gaji dpr beban banget sudah,0,Netral,"['gaji', 'dpr', 'beban', 'banget', 'sudah']",gaji dpr beban
tunjangan beras jta per bulan itu katanya cuma,-5,Negatif,"['tunjangan', 'beras', 'jta', 'per', 'bulan', 'itu', 'katanya', 'cuma']",tunjangan beras jta
gaji dpr harus umr saja tidak sih,-3,Negatif,"['gaji', 'dpr', 'harus', 'umr', 'saja', 'tidak', 'sih']",gaji dpr umr
bensin dia doang juta sebulan duit dari negara loh rata umr dinegara ini sekitar juta sebulan kalian ngeledek para buruh apa bagaimana sih,0,Netral,"['bensin', 'dia', 'doang', 'juta', 'sebulan', 'duit', 'dari', 'negara', 'loh', 'rata', 'umr', 'dinegara', 'ini', 'sekitar', 'juta', 'sebulan', 'kalian', 'ngeledek', 'para', 'buruh', 'apa', 'bagaimana', 'sih']",bensin juta sebulan duit negara umr dinegara juta sebulan ngeledek buruh
jiiir dibilang cuma juta parah,-1,Negatif,"['jiiir', 'dibilang', 'cuma', 'juta', 'parah']",jiiir dibilang juta parah
tunjangan beras saja juta lah penghasilanku tidak ada juta sebulan untuk menghidupi satu keluarga lebih baik bubarkan dpr,0,Netral,"['tunjangan', 'beras', 'saja', 'juta', 'lah', 'penghasilanku', 'tidak', 'ada', 'juta', 'sebulan', 'untuk', 'menghidupi', 'satu', 'keluarga', 'lebih', 'baik', 'bubarkan', 'dpr']",tunjangan beras juta penghasilanku juta sebulan menghidupi keluarga bubarkan dpr
gaji juta sebulan masih dibilang cuman,1,Positif,"['gaji', 'juta', 'sebulan', 'masih', 'dibilang', 'cuman']",gaji juta sebulan dibilang cuman
ciss dulu habis wd juta dikasih lagi juta,2,Positif,"['ciss', 'dulu', 'habis', 'wd', 'juta', 'dikasih', 'lagi', 'juta']",ciss habis wd juta dikasih juta
copot mentri keuangan katanya kasihan sama tikus negara tidak kasihan sama rakyat,0,Netral,"['copot', 'mentri', 'keuangan', 'katanya', 'kasihan', 'sama', 'tikus', 'negara', 'tidak', 'kasihan', 'sama', 'rakyat']",copot mentri keuangan kasihan tikus negara kasihan rakyat
